episode,return_prisoner,return_guards_mean,outcome,length
699,-1.0,-1.0,escaped,12
700,1.0,1.0,captured,12
701,1.0,1.0,captured,11
702,1.0,1.0,captured,11
703,1.0,1.0,captured,7
704,1.0,1.0,captured,8
705,1.0,1.0,captured,11
706,-1.0,-1.0,escaped,7
707,-1.0,-1.0,escaped,8
708,1.0,1.0,captured,12
709,1.0,1.0,captured,23
710,1.0,1.0,captured,15
711,1.0,1.0,captured,10
712,-1.0,-1.0,escaped,13
713,1.0,1.0,captured,20
714,1.0,1.0,captured,10
715,1.0,1.0,captured,10
716,1.0,1.0,captured,7
717,1.0,1.0,captured,10
718,1.0,1.0,captured,6
719,1.0,1.0,captured,11
720,1.0,1.0,captured,10
721,-1.0,-1.0,escaped,13
722,1.0,1.0,captured,14
723,-1.0,-1.0,escaped,6
724,1.0,1.0,captured,11
725,-1.0,-1.0,escaped,4
726,-1.0,-1.0,escaped,18
727,1.0,1.0,captured,7
728,-1.0,-1.0,escaped,5
729,1.0,1.0,captured,7
730,1.0,1.0,captured,8
731,-1.0,-1.0,escaped,5
732,1.0,1.0,captured,7
733,1.0,1.0,captured,10
734,1.0,1.0,captured,9
735,1.0,1.0,captured,8
736,1.0,1.0,captured,14
737,1.0,1.0,captured,12
738,1.0,1.0,captured,10
739,1.0,1.0,captured,14
740,1.0,1.0,captured,22
741,1.0,1.0,captured,8
742,1.0,1.0,captured,10
743,1.0,1.0,captured,20
744,1.0,1.0,captured,11
745,1.0,1.0,captured,9
746,1.0,1.0,captured,4
747,-1.0,-1.0,escaped,8
748,1.0,1.0,captured,12
749,-1.0,-1.0,escaped,8
750,1.0,1.0,captured,11
751,1.0,1.0,captured,13
752,-1.0,-1.0,escaped,6
753,1.0,1.0,captured,9
754,1.0,1.0,captured,12
755,1.0,1.0,captured,13
756,-1.0,-1.0,escaped,12
757,1.0,1.0,captured,13
758,1.0,1.0,captured,8
759,-1.0,-1.0,escaped,4
760,1.0,1.0,captured,11
761,1.0,1.0,captured,8
762,1.0,1.0,captured,11
763,1.0,1.0,captured,12
764,-1.0,-1.0,escaped,8
765,-1.0,-1.0,escaped,7
766,-1.0,-1.0,escaped,8
767,1.0,1.0,captured,10
768,1.0,1.0,captured,14
769,1.0,1.0,captured,17
770,1.0,1.0,captured,10
771,1.0,1.0,captured,9
772,1.0,1.0,captured,6
773,1.0,1.0,captured,12
774,1.0,1.0,captured,10
775,1.0,1.0,captured,14
776,1.0,1.0,captured,8
777,1.0,1.0,captured,8
778,1.0,1.0,captured,15
779,-1.0,-1.0,escaped,15
780,-1.0,-1.0,escaped,7
781,1.0,1.0,captured,9
782,1.0,1.0,captured,8
783,-1.0,-1.0,escaped,8
784,-1.0,-1.0,escaped,5
785,1.0,1.0,captured,11
786,1.0,1.0,captured,8
787,1.0,1.0,captured,13
788,-1.0,-1.0,escaped,5
789,1.0,1.0,captured,10
790,1.0,1.0,captured,10
791,1.0,1.0,captured,8
792,1.0,1.0,captured,13
793,1.0,1.0,captured,11
794,1.0,1.0,captured,9
795,1.0,1.0,captured,4
796,-1.0,-1.0,escaped,10
797,-1.0,-1.0,escaped,6
798,-1.0,-1.0,escaped,12
799,1.0,1.0,captured,13
800,1.0,1.0,captured,12
801,1.0,1.0,captured,21
802,1.0,1.0,captured,14
803,1.0,1.0,captured,6
804,1.0,1.0,captured,15
805,-1.0,-1.0,escaped,4
806,1.0,1.0,captured,10
807,1.0,1.0,captured,9
808,1.0,1.0,captured,22
809,-1.0,-1.0,escaped,7
810,1.0,1.0,captured,8
811,1.0,1.0,captured,11
812,1.0,1.0,captured,15
813,1.0,1.0,captured,12
814,1.0,1.0,captured,6
815,1.0,1.0,captured,8
816,1.0,1.0,captured,20
817,1.0,1.0,captured,10
818,-1.0,-1.0,escaped,6
819,1.0,1.0,captured,21
820,1.0,1.0,captured,4
821,1.0,1.0,captured,10
822,1.0,1.0,captured,17
823,1.0,1.0,captured,8
824,1.0,1.0,captured,16
825,1.0,1.0,captured,16
826,1.0,1.0,captured,26
827,1.0,1.0,captured,10
828,1.0,1.0,captured,6
829,1.0,1.0,captured,10
830,1.0,1.0,captured,16
831,1.0,1.0,captured,23
832,1.0,1.0,captured,11
833,1.0,1.0,captured,8
834,1.0,1.0,captured,15
835,1.0,1.0,captured,8
836,1.0,1.0,captured,13
837,1.0,1.0,captured,12
838,1.0,1.0,captured,12
839,1.0,1.0,captured,13
840,1.0,1.0,captured,15
841,-1.0,-1.0,escaped,10
842,1.0,1.0,captured,12
843,1.0,1.0,captured,9
844,1.0,1.0,captured,10
845,1.0,1.0,captured,7
846,1.0,1.0,captured,11
847,1.0,1.0,captured,11
848,1.0,1.0,captured,7
849,1.0,1.0,captured,16
850,-1.0,-1.0,escaped,16
851,1.0,1.0,captured,12
852,1.0,1.0,captured,13
853,1.0,1.0,captured,11
854,1.0,1.0,captured,7
855,1.0,1.0,captured,8
856,1.0,1.0,captured,14
857,1.0,1.0,captured,14
858,1.0,1.0,captured,12
859,-1.0,-1.0,escaped,3
860,1.0,1.0,captured,11
861,1.0,1.0,captured,14
862,1.0,1.0,captured,13
863,1.0,1.0,captured,7
864,-1.0,-1.0,escaped,8
865,1.0,1.0,captured,13
866,1.0,1.0,captured,17
867,1.0,1.0,captured,9
868,1.0,1.0,captured,11
869,1.0,1.0,captured,12
870,1.0,1.0,captured,9
871,-1.0,-1.0,escaped,8
872,1.0,1.0,captured,8
873,1.0,1.0,captured,10
874,1.0,1.0,captured,12
875,-1.0,-1.0,escaped,19
876,1.0,1.0,captured,8
877,1.0,1.0,captured,13
878,1.0,1.0,captured,8
879,1.0,1.0,captured,8
880,1.0,1.0,captured,9
881,-1.0,-1.0,escaped,12
882,1.0,1.0,captured,9
883,-1.0,-1.0,escaped,3
884,1.0,1.0,captured,17
885,1.0,1.0,captured,14
